[28/07/2019 | 21:59:44] terracota spawn was reset by POO
[28/07/2019 | 22:10:52] POO recieved the kit
[28/07/2019 | 22:38:19] terracota was set to finished by POO
[28/07/2019 | 22:40:50] Lobby was set by POO
[28/07/2019 | 23:04:11] POO reloaded the Parkour config
[28/07/2019 | 23:09:59] POO recieved the kit
[28/07/2019 | 23:12:37] POO recieved the kit
[29/07/2019 | 00:21:35] POO recieved the kit
[29/07/2019 | 02:04:59] terracota was deleted by POO
[29/07/2019 | 02:05:19] terracota spawn was reset by POO
[29/07/2019 | 02:10:18] terracota was set to finished by POO
[29/07/2019 | 02:11:10] Lobby was set by POO
